index,study_id,id,author,year,group,group_id,group_desc,url,country,region,city,time_MAX,time_50,time_MIN,detailed_time,exp_dur,fu_dur,age_base,age_category,age_SD,days_ps,days_cat,yrs_ps,stroke_type,terminal_dropout,outcome_name,outcome_extremity,ue_subscale,le_subscale,outcomenamecat,SCOAR_outcome,p_outcome_stated,itt_analysis,base_n,base_m,base_sd,difference_score,term_n,term_m,term_sd,diff_base,diff_term,fu_n,fu_m,fu_sd,est_corr,term_diff,term_s_diff,fu_diff,fu_s_diff,term_d,fu_d,j_corr_factor,term_g,aaa,fu_g,term_Vd,fu_Vd,term_Vg,SE,termvginv,fu_Vg,chck2,notes
186.00,56.00,hayner2010,hayner,2010.00,exp,120.00,CIMT,http://www.ncbi.nlm.nih.gov/pubmed/20825123,usa,CA,oakland,60.00,60.00,60.00,1.00,10.00,180.00,54.00,50th Percentile,,642.00,>1year,1.75890411,0.00,,wmft,ue,wmft,,wmft,lohse,1.00,0.00,6.00,,,,6.00,,,,,,,,0.50,,,,,,,0.84,0.00,0.00,0.00,,,,0.00,,,,
187.00,56.00,hayner2010,hayner,2010.00,exp,121.00,dosage matched bilateral therapy,http://www.ncbi.nlm.nih.gov/pubmed/20825123,usa,CA,oakland,60.00,60.00,60.00,1.00,10.00,180.00,59.50,50th Percentile,,2039.00,>1year,5.58630137,0.00,,wmft,ue,wmft,,wmft,lohse,1.00,0.00,6.00,,,,6.00,,,,,,,,0.50,,,,,,,0.84,0.00,0.00,0.00,,,,0.00,,,,
188.00,57.00,hesse2005,hesse,2005.00,exp,122.00,robotic arm trainer,http://www.ncbi.nlm.nih.gov/pubmed/7762049,germany,,berlin,0.00,0.00,0.00,1.00,42.00,90.00,65.40,75th Percentile,,35.70,<90days,0.097808219,1.00,1.00,fma-ue,ue,fma,,fma,lohse,1.00,1.00,22.00,7.90,3.40,,22.00,24.60,14.90,,,22.00,30.00,16.80,0.50,16.70,10.81,22.10,12.12,1.55,1.82,0.96,1.49,1.22,1.76,0.10,0.12,0.09,0.30,10.79,0.11,,
189.00,57.00,hesse2005,hesse,2005.00,exp,123.00,electrical stimulation of wrist flexor/extensors,http://www.ncbi.nlm.nih.gov/pubmed/7762049,germany,,berlin,0.00,0.00,0.00,1.00,42.00,90.00,64.00,75th Percentile,,38.50,<90days,0.105479452,1.00,0.00,fma-ue,ue,fma,,fma,lohse,1.00,1.00,22.00,7.30,3.30,,22.00,10.40,7.50,,,22.00,16.60,14.90,0.50,3.10,5.79,9.30,10.79,0.54,0.86,0.96,0.52,0.72,0.83,0.05,0.06,0.05,0.22,20.72,0.06,,
190.00,58.00,hesse2011,hesse,2011.00,ctrl,124.00,continuous low intensity,http://www.ncbi.nlm.nih.gov/pubmed/7762049,germany,,berlin,65.00,65.00,65.00,1.00,365.00,455.00,61.90,50th Percentile,9.40,103.60,<1year,0.283835616,1.00,0.00,rivermead mobility,,,,other,lohse,1.00,1.00,25.00,8.50,3.50,,25.00,11.20,2.70,,,25.00,11.30,2.70,0.50,2.70,3.13,2.80,3.13,0.86,0.90,0.97,0.84,0.91,0.87,0.05,0.06,0.05,0.23,19.41,0.05,Yes,
191.00,58.00,hesse2011,hesse,2011.00,exp,125.00,intermittent high intensity,http://www.ncbi.nlm.nih.gov/pubmed/7762049,germany,,berlin,120.00,120.00,120.00,1.00,365.00,455.00,62.40,50th Percentile,11.30,114.80,<1year,0.314520548,1.00,0.00,rivermead mobility,,,,other,lohse,1.00,1.00,25.00,9.40,2.80,,25.00,12.20,2.10,,,25.00,12.20,1.70,0.50,2.80,2.47,2.80,2.32,1.13,1.21,0.97,1.10,1.05,1.17,0.07,0.07,0.06,0.25,16.25,0.06,Yes,
194.00,59.00,hidler2009,hidler,2009.00,exp,126.00,lokomat gait training,http://www.ncbi.nlm.nih.gov/pubmed/19109447,usa,DC,washington DC,24.00,24.00,24.00,3.00,63.00,153.00,59.50,50th Percentile,9.40,110.90,<1year,0.303835616,1.00,5.00,gait speed SSV,le,,speed,speed,lohse,1.00,0.00,33.00,0.34,0.17,1.00,33.00,0.46,,1.00,0.00,33.00,0.49,,0.50,0.12,0.17,0.15,0.17,0.70,0.87,0.98,0.68,0.83,0.85,0.04,0.04,0.04,0.19,27.84,0.04,,
195.00,59.00,hidler2009,hidler,2009.00,ctrl,127.00,conventional gait training,http://www.ncbi.nlm.nih.gov/pubmed/19109447,usa,DC,washington DC,24.00,24.00,24.00,3.00,63.00,153.00,54.60,50th Percentile,11.30,138.90,<1year,0.380547945,1.00,4.00,gait speed SSV,le,,speed,speed,lohse,1.00,0.00,30.00,0.35,0.16,1.00,30.00,0.60,,1.00,0.00,30.00,0.65,,0.50,0.25,0.16,0.30,0.16,1.52,1.83,0.97,1.48,1.22,1.78,0.07,0.09,0.07,0.26,14.63,0.08,,
198.00,60.00,hornby2008,hornby,2008.00,exp,128.00,robot assisted gait training,http://www.ncbi.nlm.nih.gov/pubmed/18467648,usa,IL,chicago,6.00,6.00,6.00,3.00,,,57.00,50th Percentile,10.00,1500.00,>1year,4.109589041,1.00,4.00,gait speed SSV,le,,speed,speed,lohse,1.00,0.00,24.00,0.45,0.19,,24.00,0.52,0.21,,,24.00,0.50,0.21,0.50,0.07,0.20,0.05,0.20,0.35,0.25,0.97,0.34,0.58,0.24,0.04,0.04,0.04,0.20,24.19,0.04,,"This study conducted an ""on-protocol"" analysis, continuing to randomize participants as old participants withdrew, until there were 24 in each condition"
199.00,60.00,hornby2008,hornby,2008.00,ctrl,129.00,"usual care, therapist assisted gait training",http://www.ncbi.nlm.nih.gov/pubmed/18467648,usa,IL,chicago,6.00,6.00,6.00,3.00,,,57.00,50th Percentile,11.00,2190.00,>1year,6,1.00,10.00,gait speed SSV,le,,speed,speed,lohse,1.00,0.00,24.00,0.43,0.22,,24.00,0.56,0.28,,,24.00,0.52,0.25,0.50,0.13,0.25,0.09,0.24,0.52,0.38,0.97,0.50,0.71,0.37,0.05,0.04,0.04,0.21,22.65,0.04,,"This study conducted an ""on-protocol"" analysis, continuing to randomize participants as old participants withdrew, until there were 24 in each condition"
204.00,61.00,housman2009,housman,2009.00,exp,130.00,T-WREX assisted UE therapy,http://www.ncbi.nlm.nih.gov/pubmed/19237734,usa,IL,chicago,24.00,24.00,24.00,2.00,63.00,243.00,54.20,50th Percentile,,2535.00,>1year,6.945205479,0.00,2.00,fma-ue,ue,fma,,fma,lohse,1.00,0.00,14.00,21.70,5.90,1.00,14.00,25.00,,1.00,0.00,14.00,25.30,,0.50,3.30,5.90,3.60,5.90,0.56,0.61,0.94,0.53,0.73,0.57,0.08,0.08,0.07,0.27,13.67,0.08,,
205.00,61.00,housman2009,housman,2009.00,ctrl,131.00,conventional physical and occupational therapy,http://www.ncbi.nlm.nih.gov/pubmed/19237734,usa,IL,chicago,24.00,24.00,24.00,2.00,63.00,243.00,56.40,50th Percentile,,3372.00,>1year,9.238356164,0.00,1.00,fma-ue,ue,fma,,fma,lohse,1.00,0.00,14.00,18.10,5.00,1.00,14.00,20.30,,1.00,0.00,14.00,19.60,,0.50,2.20,5.00,1.50,5.00,0.44,0.30,0.94,0.41,0.64,0.28,0.08,0.07,0.07,0.26,14.41,0.07,,
206.00,62.00,hsieh2011,hsieh,2011.00,ctrl,132.00,conventional physical and occupational therapy,http://www.ncbi.nlm.nih.gov/pubmed/21436390,taiwan,,taipei,30.00,30.00,30.00,1.00,28.00,,54.00,50th Percentile,,849.00,>1year,2.326027397,0.00,0.00,fma-ue,ue,fma,,fma,lohse,1.00,1.00,6.00,37.50,11.67,,6.00,40.33,11.86,,,,,,0.50,2.83,11.77,,11.67,0.24,,0.84,0.20,0.45,0.00,0.17,,0.12,0.35,8.22,,,
207.00,62.00,hsieh2011,hsieh,2011.00,exp,133.00,low dose robot assisted therapy,http://www.ncbi.nlm.nih.gov/pubmed/21436390,taiwan,,taipei,30.00,30.00,30.00,4.00,28.00,,52.45,50th Percentile,,390.00,>1year,1.068493151,0.00,0.00,fma-ue,ue,fma,,fma,lohse,1.00,1.00,6.00,37.67,10.00,,6.00,40.00,10.47,,,,,,0.50,2.33,10.24,,10.00,0.23,,0.84,0.19,0.44,0.00,0.17,,0.12,0.35,8.25,,,
208.00,62.00,hsieh2011,hsieh,2011.00,exp,134.00,high dose robot assisted therapy,http://www.ncbi.nlm.nih.gov/pubmed/21436390,taiwan,,taipei,30.00,30.00,30.00,4.00,28.00,,56.04,50th Percentile,,639.00,>1year,1.750684932,0.00,0.00,fma-ue,ue,fma,,fma,lohse,1.00,1.00,6.00,44.00,8.17,,6.00,49.33,8.34,,,,,,0.50,5.33,8.26,,8.17,0.65,,0.84,0.54,0.74,0.00,0.20,,0.14,0.38,7.00,,,
209.00,63.00,hsieh2012,hsieh,2012.00,ctrl,135.00,conventional physical and occupational therapy,http://www.ncbi.nlm.nih.gov/pubmed/22895994,taiwan,,taipei,30.00,30.00,30.00,1.00,28.00,,54.83,50th Percentile,,672.00,>1year,1.84109589,1.00,1.00,fma-ue,ue,fma,,fma,lohse,1.00,1.00,18.00,44.61,11.06,,18.00,47.56,10.50,,,,,,0.50,2.95,10.78,,11.06,0.27,,0.96,0.26,0.51,0.00,0.06,,0.05,0.23,19.02,,Yes,
210.00,63.00,hsieh2012,hsieh,2012.00,exp,136.00,low dose robot assisted therapy,http://www.ncbi.nlm.nih.gov/pubmed/22895994,taiwan,,taipei,30.00,30.00,30.00,4.00,28.00,,52.20,25th Percentile,,840.00,>1year,2.301369863,1.00,0.00,fma-ue,ue,fma,,fma,lohse,1.00,1.00,18.00,43.10,9.18,,18.00,46.30,10.30,,,,,,0.50,3.20,9.76,,9.18,0.33,,0.96,0.31,0.56,0.00,0.06,,0.05,0.23,18.72,,Yes,
211.00,63.00,hsieh2012,hsieh,2012.00,exp,137.00,high dose robot assisted therapy,http://www.ncbi.nlm.nih.gov/pubmed/22895994,taiwan,,taipei,30.00,30.00,30.00,4.00,28.00,,56.50,50th Percentile,,860.00,>1year,2.356164384,1.00,0.00,fma-ue,ue,fma,,fma,lohse,1.00,1.00,18.00,42.80,8.86,,18.00,48.00,8.20,,,,,,0.50,5.20,8.54,,8.86,0.61,,0.96,0.58,0.76,0.00,0.07,,0.06,0.25,16.64,,Yes,
212.00,64.00,hui chan2009,hui chan,2009.00,ctrl,138.00,no treatment?,http://www.ncbi.nlm.nih.gov/pubmed/19509438,china,,hong kong,0.00,0.00,0.00,1.00,28.00,56.00,56.60,50th Percentile,7.90,1715.50,>1year,4.7,0.00,0.00,gait speed 4.6m,le,,speed,speed,lohse,0.00,1.00,29.00,0.59,0.25,,29.00,0.61,0.25,,,29.00,0.61,0.24,0.50,0.02,0.25,0.02,0.25,0.08,0.09,0.97,0.08,0.28,0.09,0.03,0.03,0.03,0.18,30.53,0.03,,
213.00,64.00,hui chan2009,hui chan,2009.00,exp,139.00,transcutaneous electrical stim only,http://www.ncbi.nlm.nih.gov/pubmed/19509438,china,,hong kong,0.00,0.00,0.00,1.00,28.00,56.00,56.60,50th Percentile,7.90,1715.50,>1year,4.7,0.00,0.00,gait speed 4.6m,le,,speed,speed,lohse,0.00,1.00,28.00,0.58,0.26,,28.00,0.65,0.29,,,28.00,0.61,0.27,0.50,0.07,0.28,0.04,0.27,0.26,0.13,0.97,0.25,0.50,0.13,0.04,0.04,0.03,0.19,28.67,0.03,,
214.00,64.00,hui chan2009,hui chan,2009.00,exp,140.00,placebo stim + task specific training,http://www.ncbi.nlm.nih.gov/pubmed/19509438,china,,hong kong,20.00,20.00,20.00,1.00,28.00,56.00,56.60,50th Percentile,7.90,1715.50,>1year,4.7,0.00,0.00,gait speed 4.6m,le,,speed,speed,lohse,0.00,1.00,25.00,0.51,0.25,,25.00,0.61,0.30,,,25.00,0.61,0.29,0.50,0.10,0.27,0.11,0.27,0.36,0.40,0.97,0.35,0.59,0.39,0.04,0.04,0.04,0.20,25.00,0.04,,
215.00,64.00,hui chan2009,hui chan,2009.00,exp,141.00,STIM + task specific training,http://www.ncbi.nlm.nih.gov/pubmed/19509438,china,,hong kong,20.00,20.00,20.00,1.00,28.00,56.00,56.60,50th Percentile,7.90,1715.50,>1year,4.7,0.00,0.00,gait speed 4.6m,le,,speed,speed,lohse,0.00,1.00,27.00,0.48,0.27,,27.00,0.67,0.33,,,27.00,0.70,0.33,0.50,0.19,0.30,0.22,0.30,0.63,0.75,0.97,0.61,0.78,0.72,0.04,0.05,0.04,0.20,23.93,0.04,,
224.00,65.00,hunter2011,hunter,2011.00,ctrl,142.00,standard care,http://www.ncbi.nlm.nih.gov/pubmed/21282528,uk,,norwich,3.87,3.87,3.87,3.00,14.00,,71.60,75th Percentile,,29.40,<90days,0.080547945,1.00,0.00,motricity,,,,other,lohse,1.00,0.00,19.00,10.00,,1.00,19.00,22.40,,,,,,,0.50,12.40,,,,,,0.96,0.00,0.00,0.00,,,,0.00,,,Yes,
225.00,65.00,hunter2011,hunter,2011.00,exp,143.00,SC + 30 min/day,http://www.ncbi.nlm.nih.gov/pubmed/21282528,uk,,norwich,5.40,5.40,5.40,3.00,14.00,,73.30,75th Percentile,,35.60,<90days,0.097534247,1.00,0.00,motricity,,,,other,lohse,1.00,0.00,18.00,5.50,,1.00,18.00,15.70,,,,,,,0.50,10.20,,,,,,0.96,0.00,0.00,0.00,,,,0.00,,,Yes,
226.00,65.00,hunter2011,hunter,2011.00,exp,144.00,SC + 60 min/day,http://www.ncbi.nlm.nih.gov/pubmed/21282528,uk,,norwich,8.70,8.70,8.70,3.00,14.00,,72.90,75th Percentile,,25.70,<90days,0.070410959,1.00,1.00,motricity,,,,other,lohse,1.00,0.00,19.00,12.00,,1.00,19.00,29.00,,,,,,,0.50,17.00,,,,,,0.96,0.00,0.00,0.00,,,,0.00,,,Yes,
227.00,65.00,hunter2011,hunter,2011.00,exp,145.00,SC + 120 min/day,http://www.ncbi.nlm.nih.gov/pubmed/21282528,uk,,norwich,15.36,15.36,15.36,3.00,14.00,,72.50,75th Percentile,,28.30,<90days,0.077534247,1.00,0.00,motricity,,,,other,lohse,1.00,0.00,20.00,12.50,,1.00,20.00,28.20,,,,,,,0.50,15.70,,,,,,0.96,0.00,0.00,0.00,,,,0.00,,,Yes,
228.00,66.00,huseman2007,huseman,2007.00,ctrl,146.00,conventional physiotherapy,http://www.ncbi.nlm.nih.gov/pubmed/17204680,germany,,bad aibling,20.00,20.00,20.00,1.00,28.00,,57.00,50th Percentile,,89.00,<90days,0.243835616,1.00,0.00,10mwt,le,,speed,speed,lohse,1.00,1.00,14.00,0.12,0.11,,14.00,0.20,0.19,,,,,,0.50,0.08,0.16,,0.11,0.52,,0.94,0.49,0.70,0.00,0.08,,0.07,0.27,13.95,,,
229.00,66.00,huseman2007,huseman,2007.00,exp,147.00,lokomat gait training,http://www.ncbi.nlm.nih.gov/pubmed/17204680,germany,,bad aibling,20.00,20.00,20.00,1.00,28.00,,60.00,50th Percentile,,79.00,<90days,0.216438356,1.00,2.00,10mwt,le,,speed,speed,lohse,1.00,1.00,16.00,0.14,0.08,,16.00,0.20,0.12,,,,,,0.50,0.06,0.10,,0.08,0.59,,0.95,0.56,0.75,0.00,0.07,,0.07,0.26,15.14,,,
230.00,67.00,in2012,in,2012.00,ctrl,148.00,convention physiotherapy + sham mirror box,https://www.jstage.jst.go.jp/article/jpts/24/4/24_339/_pdf,south korea,,seoul,0.00,0.00,0.00,,28.00,,64.50,75th Percentile,,382.50,>1year,1.047945205,1.00,2.00,fma-ue,ue,fma,,fma,lohse,0.00,0.00,8.00,46.57,11.89,,8.00,49.57,12.95,,,,,,0.50,3.00,12.43,,11.89,0.24,,0.89,0.21,0.46,0.00,0.13,,0.10,0.32,9.84,,,
231.00,67.00,in2012,in,2012.00,exp,149.00,mirror box therapy + conventional PT,https://www.jstage.jst.go.jp/article/jpts/24/4/24_339/_pdf,south korea,,seoul,0.00,0.00,0.00,,28.00,,63.45,75th Percentile,,420.00,>1year,1.150684932,1.00,3.00,fma-ue,ue,fma,,fma,lohse,0.00,0.00,11.00,49.09,11.53,,11.00,59.45,7.42,,,,,,0.50,10.36,9.70,,11.53,1.07,,0.92,0.99,0.99,0.00,0.14,,0.12,0.35,8.22,,,
232.00,68.00,indredavik1991,indredavik,1991.00,ctrl,150.00,treatment in a general medical ward,http://www.ncbi.nlm.nih.gov/pubmed/1866749,norway,,oslo,0.00,0.00,0.00,,42.00,365.00,73.70,75th Percentile,,7.00,<90days,0.019178082,1.00,39.00,barthel,,,,other,lohse,0.00,1.00,110.00,43.70,,,71.00,65.80,,,,71.00,72.40,,0.50,22.10,,28.70,,,,0.99,0.00,0.00,0.00,,,,0.00,,,,"The authors report ITT analysis for some of their outcomes, but this does not seem to be the case for Barthel Index"
233.00,68.00,indredavik1991,indredavik,1991.00,exp,151.00,treatment in a specialized stroke unit,http://www.ncbi.nlm.nih.gov/pubmed/1866749,norway,,oslo,0.00,0.00,0.00,,42.00,365.00,72.20,75th Percentile,,7.00,<90days,0.019178082,1.00,33.00,barthel,,,,other,lohse,0.00,1.00,110.00,46.90,,,77.00,79.70,,,,77.00,84.70,,0.50,32.80,,37.80,,,,0.99,0.00,0.00,0.00,,,,0.00,,,,"The authors report ITT analysis for some of their outcomes, but this does not seem to be the case for Barthel Index"
234.00,69.00,janssen2008,janssen,2008.00,ctrl,152.00,cycling exercise,http://www.ncbi.nlm.nih.gov/pubmed/18295624,netherlands,,amsterdam,6.00,6.00,6.00,3.00,42.00,,53.30,50th Percentile,,549.00,>1year,1.504109589,1.00,0.00,6minwt,le,,capacity,capacity,lohse,0.00,0.00,6.00,0.52,0.26,,6.00,0.59,0.33,,,,,,0.50,0.07,0.30,,0.26,0.24,,0.84,0.20,0.45,0.00,0.17,,0.12,0.35,8.23,,,
235.00,69.00,janssen2008,janssen,2008.00,exp,153.00,electrical stimulation plus cycling,http://www.ncbi.nlm.nih.gov/pubmed/18295624,netherlands,,amsterdam,6.00,6.00,6.00,3.00,42.00,,54.20,50th Percentile,,369.00,>1year,1.010958904,1.00,0.00,6minwt,le,,capacity,capacity,lohse,0.00,0.00,6.00,0.44,0.37,,6.00,0.51,0.41,,,,,,0.50,0.07,0.39,,0.37,0.18,,0.84,0.15,0.39,0.00,0.17,,0.12,0.35,8.33,,,
236.00,70.00,jin2012,jin,2012.00,exp,154.00,progressive cycling training with lower limb weights,http://www.ncbi.nlm.nih.gov/pubmed/22376194,china,,taixing,46.80,46.80,46.80,1.00,56.00,,57.00,50th Percentile,,555.00,>1year,1.520547945,1.00,0.00,6minwt,le,,capacity,capacity,lohse,1.00,0.00,68.00,0.59,0.18,,68.00,0.61,0.18,,,,,,0.50,0.02,0.18,,0.18,0.11,,0.99,0.10,0.32,0.00,0.01,,0.01,0.12,69.17,,,
237.00,70.00,jin2012,jin,2012.00,ctrl,155.00,low-intensity over ground walking,http://www.ncbi.nlm.nih.gov/pubmed/22376194,china,,taixing,46.80,46.80,46.80,1.00,56.00,,56.00,50th Percentile,,537.00,>1year,1.471232877,1.00,0.00,6minwt,le,,capacity,capacity,lohse,1.00,0.00,65.00,0.59,0.14,,65.00,0.59,0.14,,,,,,0.50,0.00,0.14,,0.14,0.03,,0.99,0.03,0.17,0.00,0.02,,0.02,0.12,66.53,,,
238.00,71.00,jin2013,jin,2013.00,exp,156.00,progressive cycling intervention,http://www.ncbi.nlm.nih.gov/pubmed/23535796,china,,nanjing,40.20,40.20,40.20,1.00,84.00,,57.60,50th Percentile,,561.00,>1year,1.536986301,1.00,0.00,6minwt,le,,capacity,capacity,lohse,1.00,0.00,65.00,0.59,0.18,,65.00,0.61,0.18,,,,,,0.50,0.02,0.18,,0.18,0.11,,0.99,0.11,0.32,0.00,0.02,,0.02,0.12,66.18,,,
239.00,71.00,jin2013,jin,2013.00,ctrl,157.00,stretching with overground walking,http://www.ncbi.nlm.nih.gov/pubmed/23535796,china,,nanjing,4.80,4.80,4.80,1.00,84.00,,56.30,50th Percentile,,537.00,>1year,1.471232877,1.00,0.00,6minwt,le,,capacity,capacity,lohse,1.00,0.00,63.00,0.59,0.14,,63.00,0.59,0.14,,,,,,0.50,0.00,0.14,,0.14,0.02,,0.99,0.02,0.14,0.00,0.02,,0.02,0.12,64.54,,,
240.00,72.00,johannsen2010,johannsen,2010.00,exp,158.00,bilateral arm training with auditory cuing,http://www.ncbi.nlm.nih.gov/pubmed/19822721,uk,,birmingham,7.50,7.50,7.50,1.00,42.00,90.00,68.10,75th Percentile,10.19,2253.00,>1year,6.17260274,1.00,2.00,fma ue,ue,fma,,fma,lohse,1.00,0.00,10.00,37.41,21.72,1.00,10.00,42.41,,1.00,0.00,10.00,38.51,,0.50,5.00,21.72,1.10,21.72,0.23,0.05,0.91,0.21,0.46,0.05,0.10,0.10,0.09,0.29,11.65,0.08,,change means and standard deviations calculated from figures
241.00,72.00,johannsen2010,johannsen,2010.00,exp,159.00,bilateral leg training with auditory cuing,http://www.ncbi.nlm.nih.gov/pubmed/19822721,uk,,birmingham,7.50,7.50,7.50,1.00,42.00,90.00,59.50,50th Percentile,13.40,1532.00,>1year,4.197260274,1.00,1.00,fma-le,le,,,fma,lohse,1.00,0.00,11.00,25.39,3.33,1.00,11.00,28.19,,1.00,0.00,11.00,25.59,,0.50,2.80,3.33,0.20,3.33,0.84,0.06,0.92,0.78,0.88,0.06,0.12,0.09,0.10,0.32,9.54,0.08,,change means and standard deviations calculated from figures
246.00,73.00,jongbloed1989,jongbloed,1989.00,ctrl,160.00,traditional functional task practice,http://www.ncbi.nlm.nih.gov/pubmed/2741997,canada,,vancouver,0.00,0.00,0.00,,56.00,,71.32,75th Percentile,,40.00,<90days,0.109589041,0.00,0.00,barthel,,,,other,lohse,0.00,0.00,47.00,51.17,,,47.00,75.71,,,,,,,0.50,24.54,,,,,,0.98,0.00,0.00,0.00,,,,0.00,,,,
247.00,73.00,jongbloed1989,jongbloed,1989.00,exp,161.00,sensorimotor therapy,http://www.ncbi.nlm.nih.gov/pubmed/2741997,canada,,vancouver,0.00,0.00,0.00,,56.00,,71.32,75th Percentile,,40.00,<90days,0.109589041,0.00,0.00,barthel,,,,other,lohse,0.00,0.00,43.00,56.05,,,43.00,75.57,,,,,,,0.50,19.52,,,,,,0.98,0.00,0.00,0.00,,,,0.00,,,,
248.00,74.00,jonsdottir2010,jonsdottir,2010.00,exp,162.00,task oriented biofeedback with a progressive schedule,http://www.ncbi.nlm.nih.gov/pubmed/20053951,italy,,milan,15.75,15.75,15.75,1.00,49.00,91.00,61.60,50th Percentile,,2153.00,>1year,5.898630137,0.00,0.00,height normalized speed,le,,,speed,lohse,0.00,1.00,10.00,28.70,10.80,,10.00,39.60,7.60,,,9.00,38.80,8.90,0.50,10.90,9.34,10.10,9.95,1.17,1.01,0.91,1.07,1.03,0.93,0.17,0.15,0.14,0.37,7.12,0.13,,
249.00,74.00,jonsdottir2010,jonsdottir,2010.00,ctrl,163.00,conventional physiotherapy,http://www.ncbi.nlm.nih.gov/pubmed/20053951,italy,,milan,15.75,15.75,15.75,1.00,49.00,91.00,62.60,50th Percentile,,657.00,>1year,1.8,0.00,0.00,height normalized speed,le,,,speed,lohse,0.00,1.00,10.00,26.30,11.90,,10.00,27.90,14.30,,,9.00,28.40,14.30,0.50,1.60,13.15,2.10,13.08,0.12,0.16,0.91,0.11,0.33,0.15,0.10,0.10,0.08,0.29,11.88,0.08,,
250.00,75.00,jung2012,jung,2012.00,ctrl,164.00,treadmill training,https://www.jstage.jst.go.jp/article/jpts/24/11/24_1133/_pdf,south korea,,seoul,7.50,7.50,7.50,1.00,21.00,,63.60,75th Percentile,,462.00,>1year,1.265753425,1.00,0.00,tug,le,,balance,balance,lohse,0.00,0.00,10.00,23.80,4.90,,10.00,23.00,5.20,,,,,,0.50,-0.80,5.05,,4.90,0.16,,0.91,0.14,0.38,0.00,0.10,,0.08,0.29,11.81,,,sign reversed for time measure
251.00,75.00,jung2012,jung,2012.00,ctrl,165.00,VR treadmill training,https://www.jstage.jst.go.jp/article/jpts/24/11/24_1133/_pdf,south korea,,seoul,7.50,7.50,7.50,1.00,21.00,,60.50,50th Percentile,,378.00,>1year,1.035616438,1.00,0.00,tug,le,,balance,balance,lohse,0.00,0.00,11.00,21.90,3.50,,11.00,19.20,4.50,,,,,,0.50,-2.70,4.03,,3.50,0.67,,0.92,0.62,0.79,0.00,0.11,,0.09,0.31,10.54,,,sign reversed for time measure
252.00,76.00,kahn2006,kahn,2006.00,ctrl,166.00,dosage matched unassisted reaching,http://www.jneuroengrehab.com/content/3/1/12,usa,CA,irvine,18.00,18.00,18.00,4.00,56.00,180.00,55.90,50th Percentile,,3093.00,>1year,8.473972603,0.00,0.00,chedoke mcmaster,,,,other,lohse,0.00,0.00,9.00,3.20,1.00,1.00,9.00,3.50,,,,8.00,,,0.50,0.30,1.00,,1.00,0.30,,0.90,0.27,0.52,0.00,0.12,,0.09,0.31,10.56,,,
253.00,76.00,kahn2006,kahn,2006.00,exp,167.00,robot assisted reaching,http://www.jneuroengrehab.com/content/3/1/12,usa,CA,irvine,18.00,18.00,18.00,4.00,56.00,180.00,55.60,50th Percentile,,2274.00,>1year,6.230136986,0.00,0.00,chedoke mcmaster,,,,other,lohse,0.00,0.00,10.00,3.50,0.90,1.00,10.00,3.70,,,,9.00,,,0.50,0.20,0.90,,0.90,0.22,,0.91,0.20,0.45,0.00,0.10,,0.09,0.29,11.67,,,
254.00,77.00,kang2012,kang,2012.00,ctrl,168.00,CPT + stretching,http://www.ncbi.nlm.nih.gov/pubmed/21971754,south korea,,seoul,0.00,0.00,0.00,,28.00,,56.10,50th Percentile,7.80,453.00,>1year,1.24109589,1.00,0.00,tug,le,,balance,balance,lohse,0.00,0.00,10.00,20.50,4.70,,10.00,20.00,5.00,,,,,,0.50,-0.50,4.85,,4.70,0.10,,0.91,0.09,0.31,0.00,0.10,,0.08,0.29,11.90,,,sign reversed for time measure
255.00,77.00,kang2012,kang,2012.00,exp,169.00,CPT + treadmill training,http://www.ncbi.nlm.nih.gov/pubmed/21971754,south korea,,seoul,0.00,0.00,0.00,,28.00,,56.30,50th Percentile,7.60,405.00,>1year,1.109589041,1.00,1.00,tug,le,,balance,balance,lohse,0.00,0.00,10.00,19.40,4.60,,10.00,17.90,4.50,,,,,,0.50,-1.50,4.55,,4.60,0.33,,0.91,0.30,0.55,0.00,0.11,,0.09,0.30,11.35,,,sign reversed for time measure
256.00,77.00,kang2012,kang,2012.00,exp,170.00,CPT + treadmill training with optic flow information,http://www.ncbi.nlm.nih.gov/pubmed/21971754,south korea,,seoul,0.00,0.00,0.00,,28.00,,55.90,50th Percentile,6.50,423.00,>1year,1.15890411,1.00,1.00,tug,le,,balance,balance,lohse,0.00,0.00,10.00,18.80,3.50,,10.00,13.20,2.00,,,,,,0.50,-5.60,2.85,,3.50,1.96,,0.91,1.80,1.34,0.00,0.29,,0.24,0.49,4.08,,,sign reversed for time measure
263.00,78.00,katz leurer2006,katz leurer,2006.00,ctrl,171.00,CPT,http://www.ncbi.nlm.nih.gov/pubmed/16774090,israel,,tel aviv,0.00,0.00,0.00,,21.00,42.00,65.00,75th Percentile,,,>1year,,1.00,0.00,postural assessment scale,,,,other,lohse,1.00,0.00,14.00,19.10,3.20,,14.00,23.00,4.30,,,14.00,26.40,3.80,0.50,3.90,3.79,7.30,3.51,1.03,2.08,0.94,0.97,0.98,1.96,0.11,0.23,0.10,0.31,10.33,0.20,,
